Name,Price,urls,tags
Green Bell Peppers,1.00,http://www.picserver.org/assets/library/2020-11-03/originals/green_bell_pepper01.jpg,fruit
Bread,4.29,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,bakery
Oranges,1.00,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Oranges_-_whole-halved-segment.jpg/640px-Oranges_-_whole-halved-segment.jpg,fruit
Mangos,1.25,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mangos_-_single_and_halved.jpg/640px-Mangos_-_single_and_halved.jpg,fruit
Apples,0.89,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/640px-Red_Apple.jpg,fruit
Carrots,1.79,https://upload.wikimedia.org/wikipedia/commons/f/f1/Fresh_orange_carrots.jpg,vegetable
Watermelon,9.99,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,fruit
Reeses 2ct,1.00,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,chocolate
Pineapple,2.99,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Abacaxi_%28Ananas_comosus%29_2014-07-14_20-40.jpg/640px-Abacaxi_%28Ananas_comosus%29_2014-07-14_20-40.jpg,fruit
Coconut,1.99,https://live.staticflickr.com/65535/49590476857_00a97a51fa_b.jpg,fruit
Lemon,2.99,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Lemon.jpg/640px-Lemon.jpg,fruit
Tomatoes,1.01,https://upload.wikimedia.org/wikipedia/commons/8/89/Tomato_je.jpg,fruit
Red onion,1.31,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Red_Onion_on_White.JPG/640px-Red_Onion_on_White.JPG,vegetable
Broccoli,1.99,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Broccoli_and_cross_section_edit.jpg/640px-Broccoli_and_cross_section_edit.jpg,vegetable
Red Bell Pepper,1.99,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Red_bell_pepper.jpg/640px-Red_bell_pepper.jpg,fruit
Pumpkin Pie,7.99,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,bakery
Pumpkin,10.00,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pumpkin_Picking.jpg/640px-Pumpkin_Picking.jpg,fruit
Strawberries 16 oz pkg,4.99,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,fruit
Gummy bears 4 oz pkg,2.29,https://live.staticflickr.com/65535/48376950046_88598afaa8_b.jpg,candy
Bananas yellow (4-6) ct,1.52,https://upload.wikimedia.org/wikipedia/commons/9/9b/Cavendish_Banana_DS.jpg,fruit
Cabbage green,2.98,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Cabbage_and_cross_section_on_white.jpg/640px-Cabbage_and_cross_section_on_white.jpg,vegetable
Pizza,6.99,https://live.staticflickr.com/2139/2329552391_ecdccd342c_b.jpg,dinner
Starfruit,2.00,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Averrhoa_carambola_Fruit.JPG/640px-Averrhoa_carambola_Fruit.JPG,fruit
Lime,0.75,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Lime-Whole-Split.jpg/640px-Lime-Whole-Split.jpg,fruit
Lemon Pie,7.99,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,bakery
Blueberry Pie,7.99,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,bakery
Oreo Cakesters 5 ct,3.49,https://i0.hippopx.com/photos/60/339/666/watermelon-melon-fruit-sweet-preview.jpg,candy
Hagen Daz Vanilla Ice cream 24 oz ctn,8.99,https://live.staticflickr.com/3365/3290260147_5919dd9774_b.jpg,dairy
Cabot sharp cheese,4.69,https://cdn.shopify.com/s/files/1/0571/3933/1129/files/Cabot_CrackerCuts_SeriouslySharp_7oz_FrontAngle_600x600_e104f354-ce85-4546-8bb6-20459bc9adfa_500x.png?v=1668025018,dairy
